PoB..Town.or.Parish.,Lat.Long,DoB
Dungarvan,52.0845 -7.6397,08/01/1844
NA,523.9 -9.25,25/03/1845
St Werburgh's Parish,53.3425 -6.269722,19/02/1847
Dublin, 53.347778 -6.259722,02/08/1846
Devenish,54.372308 -7.657642,14/11/1847
Kingstown,53.3 -6.14,23/10/1849
Galway,53.271944 -9.048889,08/10/1847
Thurles,52.679 -7.814,23/11/1849
Carnew,52.709 -6.495,10/12/1846
NA,NA,08/01/1849
Great Island,51.866667 -8.283333,11/06/1848
Coagh,54.6477 -6.6184,16/09/1844
Ballinhassig,51.816667 -8.533333,20/12/1845
Cork,51.897222 -8.47,20/09/1848
Raphoe,54.873923 -7.600486,01/05/1849 (Bapt.)
Croom,52.5213 -8.7205,12/03/1849
Mostrim,53.7675 -7.448,04/02/1849 (Bapt.)
Dublin, 53.347778 -6.259722,24/11/1844
Monaghan,54.247926 -6.970825,29/11/1845
Tullamore,53.2667 -7.5,NA
Cork City,51.897222 -8.47,29/07/1848
Tralee,"52.2675, -9.6962",02/01/1849
Dungarvan,52.0845 -7.6397,28/05/1848
"Bradford, Yorkshire",NA,06/05/1845
Mullingar,"53.5224, -7.3378",04/03/1850
Taghmon,52.32 -6.66,11/10/1846
York,53.958333 -1.080278,10/10/1849
"Torquay, England",50.47 -3.53,24/05/1847
Aghada,51.833333 -8.216667,27/09/1849
Carrick-on-Suir,52.346509 -7.411995,11/02/1851
Doneraile,52.215897 -8.585521,20/03/1848
Given address only,NA,12/02/1851
Croom,52.5213 -8.7205,04/12/1850
Tamlaghtard or Magilligan,54.898 -6.554,30/04/1851
Fermoy,52.141 -8.276,11/03/1847
Castlecomer,52.806 -7.21,21/11/1849
Buncrana,55.1364 -7.456,19/01/1850
Dublin, 53.347778 -6.259722,28/10/1846
Dundalk,54.009 -6.4049,NA
Ramelton,55.03562 -7.64555,03/08/1849
Cork,51.897222 -8.47,10/02/1852
Dublin, 53.347778 -6.259722,31/10/1851
Charleville,52.355 -8.684,24/05/1851
Cappagh,54.542778 -6.925833,29/11/1847
Schull,51.5266 -9.5481,04/09/1849
Skibbereen,51.5486 -9.2636,NA
Myshall,52.6862 -6.7802,17/03/1850
Dromcollogher,52.34 -8.91,03/07/1848
Carne,52.170556 -6.355556,29/07/1852
Omagh,54.59 -7.29,NA
Mallow,52.131 -8.6415,31/08/1851 (Bapt)
Meerut,28.99 77.7,23/03/1852
Clifden,53.4833 -10.0167,26/07/1851
Waterford,"52.256667, -7.129167",31/07/1848
Limerick,52.6653 -8.6238,10/05/1853
Raphoe,54.873923 -7.600486,07/04/1851
Enniscorthy,52.502064 -6.565876,16/09/1850
Dublin, 53.347778 -6.259722,29/09/1851
Ballyfarnon,54.0725 -8.2047,02/08/1850
Surat,"21.18, 72.83",16/05/1851
Dublin, 53.347778 -6.259722,12/01/1853
Glendermott,54.9958 -7.3074,30/09/1851
NA,NA,1851
Barna,52.8 -7.83,13/08/1854
Quin,52.8183 -8.865358,18/03/1853
Strabane,54.83 -7.47,12/05/1850
Blessington,53.17 -6.533,21/03/1852
NA,NA,NA
Ballinora Waterfall,51.854486 -8.554606,04/03/1850
Tuam,53.515 -8.851,1852
 Dublin, 53.347778 -6.259722,21/11/1851
Drimnagh,53.32641 -6.31884,23/05/1854
Cork,51.897222 -8.47,25/???/1854
Cork,51.897222 -8.47,13/05/1854
Dohanaughta (aka Eyrecourt),53.2 -8.132,20/01/1852
Kilmeen,"53.197, -8.567",25/03/1853
Ballinadee,51.716667 -8.633333,11/02/1853
Templemichael,53.727 -7.7998,25/08/1852
Cork,51.897222 -8.47,18/12/1854
Fermoy,52.141 -8.276,10/11/1853
Tuam,53.515 -8.851,07/11/1855
York,53.958333 -1.080278,07/03/1855
Ballinvara,NA,02/05/1855
Dublin, 53.347778 -6.259722,16/02/1854
Dublin, 53.347778 -6.259722,11/05/1854 (Bapt)
Dromcollogher,52.34 -8.91,NA
Cork,51.897222 -8.47,NA
Dublin, 53.347778 -6.259722,NA
Enniskillen,54.345 -7.64,NA
Cork,51.897222 -8.47,NA
Castlerea,"53.7667, -8.5",15/07/1856
Cork,51.897222 -8.47,NA
Tipperary,52.474 -8.162,15/07/1856
Dublin, 53.347778 -6.259722,09/07/1855
Dublin, 53.347778 -6.259722,15/05/1855
Wexford,52.3342 -6.4575,20/07/1851
Glasgow,55.858 -4.259,08/01/1857
Kilnaboy,52.9697 -9.0854,12/07/1853
NA,NA,NA
Cork,51.897222 -8.47,1855
Ballymena,54.86 -6.28,30/09/1855
Hawick,55.422145 -2.787549,06/01/1853
NA,NA,NA
Croom,"52.5213, -8.7205",NA
Antrim,"54.7173, -6.2055",29/10/1856
Cork,51.897222 -8.47,28/09/1856
Dublin, 53.347778 -6.259722,02/06/1857
Cavan,"53.991, -7.3601",28/03/1856
Dublin, 53.347778 -6.259722,03/04/1855
Dublin, 53.347778 -6.259722,1857
Clogherney,54.55 -7.167,29/04/1858
Ballinora Waterfall,51.854486 -8.554606,12/03/1854
Balrothery,53.587085 -6.188528,1859
Omagh,54.59 -7.29,1854
Killmore,54.388 -5.7867,22/09/1856
Monaghan,54.247926 -6.970825,17/09/1858
NA,NA,1859
Gurney,NA,13/01/1859
Stillorgan,53.2888 -6.1958,10/05/1858
Mallow,52.131 -8.6415,28/03/1859
Monaghan,54.247926 -6.970825,27/09/1857
Dublin, 53.347778 -6.259722,21/02/1857
Cookstown,54.647 -6.745,10/03/1858
87 Stephen's Green,53.338056 -6.259167,08/12/1854
Monaghan,54.247926 -6.970825,04/09/1859
NA,NA,NA
Dublin, 53.347778 -6.259722,17/05/1860
Comber,54.544 -5.735,25/12/1862
Templemore,"52.8, -7.83",NA
Rathmines,"53.325, -6.265",03/01/1862
Kingstown,"53.3, -6.14",18/02/1864
Corofin,52.945225 -9.062004,05/05/1861
Magherafelt,54.75 -6.61,07/09/1862
Cuddalore,11.75 79.75,07/06/1863
Omagh,54.59 -7.29,17/05/1861
Irvinestown,54.471 -7.634,1862
Parteen,52.696272 -8.615283,09/12/1863
Duagh,52.416 -9.39,01/10/1862
Ballina,54.1167 -9.1667,10/06/1862
Ballybay,54.2 -6.833333,10/07/1865
Templemore,54.9958 -7.3074,12/11/1861
Carrickfergus,54.716 -5.809,02/12/1864
Mullingar,53.5224 -7.3378,28/08/1861
Ballineen,51.735556 -8.948611,25/08/1860
Baroda,22.3 73.2,06/12/1863
Derryloran,NA,25/12/1861
Fort George,49.4463 -2.5305,02/08/1866
Glasnevin,53.371859 -6.267357,04/02/1864
Lurgan,54.464722 -6.332222,21/01/1865
Isle of Man,54.25 -4.5,22/04/1864
Clogher,54.416667 -7.2,16/08/1862
Dromard West,54.2433 -8.7311,23/09/1866
Cookstown,54.647 -6.745,28/08/1865
Bantry,51.679722 -9.453333,22/01/1868
Madras,13.083333 80.266667,10/01/1863
Bandon,51.746 -8.735,19/09/1863
Ennis,52.8463 -8.9807,02/04/1867
Derry,54.9958 -7.3074,02/09/1864
Mooltan,30.197778 71.469722,19/04/1866
Lucan,53.3544 -6.4486,NA
Dungannon,54.5 -6.77,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
Delhi,28.61 77.23,NA
"Pol, Rajgrod",53.733333 22.7,1872
Limerick,52.6653 -8.6238,14/10/1870
Downpatrick,54.322 -5.703,03/05/1873
"Fort St George, Madras","13.079722, 80.286944",13/04/1874
Granard,NA,23/10/1871
Tralee,52.2675 -9.6962,11/06/1871
NA,NA,NA
NA,NA,1876
Galway,53.271944 -9.048889,1878
NA,NA,1874
NA,NA,1874
NA,NA,1877
NA,NA,1875
NA,NA,1878
NA,NA,1875
NA,NA,1877
Bangalore,12.966667 77.566667,12/10/1874
NA,NA,12/1876
Coleraine,55.133 -6.661,23/11/1875
NA,NA,1876
NA,NA,1880
NA,NA,1880
Passage,51.8713 -8.3352,25/08/1872
NA,NA,NA
NA,NA,NA
NA,NA,1878
NA,NA,1880
NA,NA,1877
NA,NA,1879
NA,NA,1878
NA,NA,1876
Cork,51.897222 -8.47,16/02/1871
NA,NA,1878
NA,NA,1879
Portadown,54.421027 -6.458244,1877
NA,NA,1881
NA,NA,1882
NA,NA,1878
Cork,51.897222 -8.47,1882
Achill Island,53.96391 -10.00303,1882
Dublin, 53.347778 -6.259722,1883
NA,NA,1879
NA,NA,1882
NA,NA,1880
Dublin, 53.347778 -6.259722,1883
Monkstown,53.2938 -6.1537,1880
NA,NA,1883
Dublin, 53.347778 -6.259722,1884
Castledermott,52.91204 -6.83757,02/10/1884
NA,NA,16/08/1884
Enniskeane,51.735556 -8.948611,21/11/1882
Dublin, 53.347778 -6.259722,10/05/1883
Dublin, 53.347778 -6.259722,10/06/1884
Dublin, 53.347778 -6.259722,11/01/1885
Dublin, 53.347778 -6.259722,26/08/1886
Monkstown,53.2938 -6.1537,27/06/1887
NA,NA,18/05/1887
NA,NA,17/01/1887
 Dublin, 53.347778 -6.259722,06/12/1887
NA,NA,23/12/1884
Belfast,"54.597, -5.93",02/12/1884
Cork,51.897222 -8.47,08/11/1883
Midleton,51.916 -8.175,17/03/1889
Prospect,51.897222 -8.47,18/03/1887
Cork,51.897222 -8.47,31/12/1888
Glenbrook,51.861667 -8.333333,18/03/1889
