timestamp,project_occupation,status,count
,,,
30/03/2016,Clerical and data entry,new,2993
,,,
30/03/2016,Clerical and data entry,open,3216
,,,
04/04/2016,Clerical and data entry,closed,1878
,,,
04/04/2016,Clerical and data entry,new,1938
,,,
04/04/2016,Clerical and data entry,open,1443
,,,
11/04/2016,Clerical and data entry,closed,3375
,,,
11/04/2016,Clerical and data entry,new,3342
,,,
11/04/2016,Clerical and data entry,open,9
,,,
18/04/2016,Business services,closed,67
,,,
18/04/2016,Business services,new,63
,,,
18/04/2016,Business services,open,165
,,,
18/04/2016,Clerical and data entry,closed,2980
,,,
18/04/2016,Clerical and data entry,new,3011
,,,
18/04/2016,Clerical and data entry,open,585
,,,
18/04/2016,Creative and multimedia,closed,368
,,,
18/04/2016,Creative and multimedia,new,388
,,,
18/04/2016,Creative and multimedia,open,1066
,,,
18/04/2016,Sales and marketing support,closed,103
,,,
18/04/2016,Sales and marketing support,new,77
,,,
18/04/2016,Sales and marketing support,open,181
,,,
18/04/2016,Software development and technology,closed,990
,,,
18/04/2016,Software development and technology,new,941
,,,
18/04/2016,Software development and technology,open,2653
,,,
18/04/2016,Writing and translation,closed,158
,,,
18/04/2016,Writing and translation,new,112
,,,
18/04/2016,Writing and translation,open,361
,,,
25/04/2016,Business services,closed,61
,,,
25/04/2016,Business services,new,70
,,,
25/04/2016,Business services,open,488
,,,
25/04/2016,Clerical and data entry,closed,2981
,,,
25/04/2016,Clerical and data entry,new,2301
,,,
25/04/2016,Clerical and data entry,open,895
,,,
25/04/2016,Creative and multimedia,closed,412
,,,
25/04/2016,Creative and multimedia,new,429
,,,
25/04/2016,Creative and multimedia,open,1887
,,,
25/04/2016,Sales and marketing support,closed,80
,,,
25/04/2016,Sales and marketing support,new,101
,,,
25/04/2016,Sales and marketing support,open,497
,,,
25/04/2016,Software development and technology,closed,1053
,,,
25/04/2016,Software development and technology,new,1065
,,,
25/04/2016,Software development and technology,open,5362
,,,
25/04/2016,Writing and translation,closed,147
,,,
25/04/2016,Writing and translation,new,145
,,,
25/04/2016,Writing and translation,open,1026
,,,
26/04/2016,Business services,closed,138
,,,
26/04/2016,Business services,new,94
,,,
26/04/2016,Business services,open,2262
,,,
26/04/2016,Clerical and data entry,closed,271
,,,
26/04/2016,Clerical and data entry,new,286
,,,
26/04/2016,Clerical and data entry,open,5939
,,,
26/04/2016,Creative and multimedia,closed,561
,,,
26/04/2016,Creative and multimedia,new,566
,,,
26/04/2016,Creative and multimedia,open,4337
,,,
26/04/2016,Sales and marketing support,closed,378
,,,
26/04/2016,Sales and marketing support,new,400
,,,
26/04/2016,Sales and marketing support,open,4600
,,,
26/04/2016,Software development and technology,closed,1475
,,,
26/04/2016,Software development and technology,new,1392
,,,
26/04/2016,Software development and technology,open,11589
,,,
26/04/2016,Writing and translation,closed,622
,,,
26/04/2016,Writing and translation,new,557
,,,
26/04/2016,Writing and translation,open,7376
,,,
28/04/2016,Business services,closed,139
,,,
28/04/2016,Business services,new,129
,,,
28/04/2016,Business services,open,419
,,,
28/04/2016,Clerical and data entry,closed,1766
,,,
28/04/2016,Clerical and data entry,new,1614
,,,
28/04/2016,Clerical and data entry,open,1431
,,,
28/04/2016,Creative and multimedia,closed,465
,,,
28/04/2016,Creative and multimedia,new,681
,,,
28/04/2016,Creative and multimedia,open,1851
,,,
28/04/2016,Sales and marketing support,closed,143
,,,
28/04/2016,Sales and marketing support,new,199
,,,
28/04/2016,Sales and marketing support,open,455
,,,
28/04/2016,Software development and technology,closed,1318
,,,
28/04/2016,Software development and technology,new,1770
,,,
28/04/2016,Software development and technology,open,5109
,,,
28/04/2016,Writing and translation,closed,279
,,,
28/04/2016,Writing and translation,new,352
,,,
28/04/2016,Writing and translation,open,892
,,,
29/04/2016,Business services,closed,30
,,,
29/04/2016,Business services,new,29
,,,
29/04/2016,Business services,open,518
,,,
29/04/2016,Clerical and data entry,closed,1040
,,,
29/04/2016,Clerical and data entry,new,1003
,,,
29/04/2016,Clerical and data entry,open,2005
,,,
29/04/2016,Creative and multimedia,closed,165
,,,
29/04/2016,Creative and multimedia,new,162
,,,
29/04/2016,Creative and multimedia,open,2367
,,,
29/04/2016,Sales and marketing support,closed,40
,,,
29/04/2016,Sales and marketing support,new,48
,,,
29/04/2016,Sales and marketing support,open,614
,,,
29/04/2016,Software development and technology,closed,379
,,,
29/04/2016,Software development and technology,new,374
,,,
29/04/2016,Software development and technology,open,6500
,,,
29/04/2016,Writing and translation,closed,71
,,,
29/04/2016,Writing and translation,new,94
,,,
29/04/2016,Writing and translation,open,1173
,,,
30/04/2016,Business services,closed,232
,,,
30/04/2016,Business services,new,255
,,,
30/04/2016,Business services,open,2671
,,,
30/04/2016,Clerical and data entry,closed,1787
,,,
30/04/2016,Clerical and data entry,new,1768
,,,
30/04/2016,Clerical and data entry,open,7446
,,,
30/04/2016,Creative and multimedia,closed,1786
,,,
30/04/2016,Creative and multimedia,new,1877
,,,
30/04/2016,Creative and multimedia,open,5646
,,,
30/04/2016,Sales and marketing support,closed,1140
,,,
30/04/2016,Sales and marketing support,new,1112
,,,
30/04/2016,Sales and marketing support,open,4522
,,,
