timestamp	project_occupation	status	count
2016-03-30	Clerical and data entry	new	2993
2016-03-30	Clerical and data entry	open	3216
2016-04-04	Clerical and data entry	closed	1878
2016-04-04	Clerical and data entry	new	1938
2016-04-04	Clerical and data entry	open	1443
2016-04-11	Clerical and data entry	closed	3375
2016-04-11	Clerical and data entry	new	3342
2016-04-11	Clerical and data entry	open	9
2016-04-18	Business services	closed	67
2016-04-18	Business services	new	63
2016-04-18	Business services	open	165
2016-04-18	Clerical and data entry	closed	2980
2016-04-18	Clerical and data entry	new	3011
2016-04-18	Clerical and data entry	open	585
2016-04-18	Creative and multimedia	closed	368
2016-04-18	Creative and multimedia	new	388
2016-04-18	Creative and multimedia	open	1066
2016-04-18	Sales and marketing support	closed	103
2016-04-18	Sales and marketing support	new	77
2016-04-18	Sales and marketing support	open	181
2016-04-18	Software development and technology	closed	990
2016-04-18	Software development and technology	new	941
2016-04-18	Software development and technology	open	2653
2016-04-18	Writing and translation	closed	158
2016-04-18	Writing and translation	new	112
2016-04-18	Writing and translation	open	361
2016-04-25	Business services	closed	61
2016-04-25	Business services	new	70
2016-04-25	Business services	open	488
2016-04-25	Clerical and data entry	closed	2981
2016-04-25	Clerical and data entry	new	2301
2016-04-25	Clerical and data entry	open	895
2016-04-25	Creative and multimedia	closed	412
2016-04-25	Creative and multimedia	new	429
2016-04-25	Creative and multimedia	open	1887
2016-04-25	Sales and marketing support	closed	80
2016-04-25	Sales and marketing support	new	101
2016-04-25	Sales and marketing support	open	497
2016-04-25	Software development and technology	closed	1053
2016-04-25	Software development and technology	new	1065
2016-04-25	Software development and technology	open	5362
2016-04-25	Writing and translation	closed	147
2016-04-25	Writing and translation	new	145
2016-04-25	Writing and translation	open	1026
2016-04-26	Business services	closed	138
2016-04-26	Business services	new	94
2016-04-26	Business services	open	2262
2016-04-26	Clerical and data entry	closed	271
2016-04-26	Clerical and data entry	new	286
2016-04-26	Clerical and data entry	open	5939
2016-04-26	Creative and multimedia	closed	561
2016-04-26	Creative and multimedia	new	566
2016-04-26	Creative and multimedia	open	4337
2016-04-26	Sales and marketing support	closed	378
2016-04-26	Sales and marketing support	new	400
2016-04-26	Sales and marketing support	open	4600
2016-04-26	Software development and technology	closed	1475
2016-04-26	Software development and technology	new	1392
2016-04-26	Software development and technology	open	11589
2016-04-26	Writing and translation	closed	622
2016-04-26	Writing and translation	new	557
2016-04-26	Writing and translation	open	7376
2016-04-28	Business services	closed	139
2016-04-28	Business services	new	129
2016-04-28	Business services	open	419
2016-04-28	Clerical and data entry	closed	1766
2016-04-28	Clerical and data entry	new	1614
2016-04-28	Clerical and data entry	open	1431
2016-04-28	Creative and multimedia	closed	465
2016-04-28	Creative and multimedia	new	681
2016-04-28	Creative and multimedia	open	1851
2016-04-28	Sales and marketing support	closed	143
2016-04-28	Sales and marketing support	new	199
2016-04-28	Sales and marketing support	open	455
2016-04-28	Software development and technology	closed	1318
2016-04-28	Software development and technology	new	1770
2016-04-28	Software development and technology	open	5109
2016-04-28	Writing and translation	closed	279
2016-04-28	Writing and translation	new	352
2016-04-28	Writing and translation	open	892
2016-04-29	Business services	closed	30
2016-04-29	Business services	new	29
2016-04-29	Business services	open	518
2016-04-29	Clerical and data entry	closed	1040
2016-04-29	Clerical and data entry	new	1003
2016-04-29	Clerical and data entry	open	2005
2016-04-29	Creative and multimedia	closed	165
2016-04-29	Creative and multimedia	new	162
2016-04-29	Creative and multimedia	open	2367
2016-04-29	Sales and marketing support	closed	40
2016-04-29	Sales and marketing support	new	48
2016-04-29	Sales and marketing support	open	614
2016-04-29	Software development and technology	closed	379
2016-04-29	Software development and technology	new	374
2016-04-29	Software development and technology	open	6500
2016-04-29	Writing and translation	closed	71
2016-04-29	Writing and translation	new	94
2016-04-29	Writing and translation	open	1173
2016-04-30	Business services	closed	232
2016-04-30	Business services	new	255
2016-04-30	Business services	open	2671
2016-04-30	Clerical and data entry	closed	1787
2016-04-30	Clerical and data entry	new	1768
2016-04-30	Clerical and data entry	open	7446
2016-04-30	Creative and multimedia	closed	1786
2016-04-30	Creative and multimedia	new	1877
2016-04-30	Creative and multimedia	open	5646
2016-04-30	Sales and marketing support	closed	1140
2016-04-30	Sales and marketing support	new	1112
2016-04-30	Sales and marketing support	open	4522
2016-04-30	Software development and technology	closed	4467
2016-04-30	Software development and technology	new	4402
2016-04-30	Software development and technology	open	15388
2016-04-30	Writing and translation	closed	1526
2016-04-30	Writing and translation	new	1504
2016-04-30	Writing and translation	open	7674
2016-05-01	Business services	closed	71
2016-05-01	Business services	new	47
2016-05-01	Business services	open	2855
2016-05-01	Clerical and data entry	closed	920
2016-05-01	Clerical and data entry	new	1232
2016-05-01	Clerical and data entry	open	8293
2016-05-01	Creative and multimedia	closed	356
2016-05-01	Creative and multimedia	new	265
2016-05-01	Creative and multimedia	open	7167
2016-05-01	Sales and marketing support	closed	152
2016-05-01	Sales and marketing support	new	124
2016-05-01	Sales and marketing support	open	5482
2016-05-01	Software development and technology	closed	821
2016-05-01	Software development and technology	new	742
2016-05-01	Software development and technology	open	18969
2016-05-01	Writing and translation	closed	241
2016-05-01	Writing and translation	new	225
2016-05-01	Writing and translation	open	8937
2016-05-02	Business services	closed	42
2016-05-02	Business services	new	23
2016-05-02	Business services	open	501
2016-05-02	Clerical and data entry	closed	988
2016-05-02	Clerical and data entry	new	677
2016-05-02	Clerical and data entry	open	2337
2016-05-02	Creative and multimedia	closed	111
2016-05-02	Creative and multimedia	new	94
2016-05-02	Creative and multimedia	open	2370
2016-05-02	Sales and marketing support	closed	34
2016-05-02	Sales and marketing support	new	17
2016-05-02	Sales and marketing support	open	610
2016-05-02	Software development and technology	closed	374
2016-05-02	Software development and technology	new	227
2016-05-02	Software development and technology	open	6377
2016-05-02	Writing and translation	closed	70
2016-05-02	Writing and translation	new	47
2016-05-02	Writing and translation	open	1130
2016-05-03	Business services	closed	113
2016-05-03	Business services	new	133
2016-05-03	Business services	open	2770
2016-05-03	Clerical and data entry	closed	1176
2016-05-03	Clerical and data entry	new	1502
2016-05-03	Clerical and data entry	open	8038
2016-05-03	Creative and multimedia	closed	982
2016-05-03	Creative and multimedia	new	1033
2016-05-03	Creative and multimedia	open	6433
2016-05-03	Sales and marketing support	closed	542
2016-05-03	Sales and marketing support	new	580
2016-05-03	Sales and marketing support	open	5047
2016-05-03	Software development and technology	closed	2036
2016-05-03	Software development and technology	new	1996
2016-05-03	Software development and technology	open	17528
2016-05-03	Writing and translation	closed	783
2016-05-03	Writing and translation	new	808
2016-05-03	Writing and translation	open	8356
